,Title 1,Meta Description 1,H1-1
5186,"Ford - ""Free""",Television & Cinema Free for Ford by J. Walter Thompson Argentina - Get on board the life you want to live,"Ford - ""Free"""
5187,"Volkswagen - ""Soccer""",Television Soccer for Volkswagen by Havas Montreal,"Volkswagen - ""Soccer"""
5188,"Fiat - ""Rocky""","Television Rocky for Fiat by Leo Burnett Tailor Made - Inspired by the movie ""Rocky"", the film reproduces classical scenes from the boxers workout routine...","Fiat - ""Rocky"""
5189,"Gatorade - ""4am Wake Up""",Print 4am Wake Up for Gatorade by Element 79,"Gatorade - ""4am Wake Up"""
5190,"Gatorade - ""Bike Payments""",Print Bike Payments for Gatorade by Element 79,"Gatorade - ""Bike Payments"""
5191,"Alltel - ""Sweat Mopper""",Radio Sweat Mopper for Alltel by Campbell Ewald,"Alltel - ""Sweat Mopper"""
5192,"EA Sports - ""Foot on the Line""",Television Foot on the Line for EA Sports by Wieden + Kennedy - It's in the Game,"EA Sports - ""Foot on the Line"""
5193,"Major League Baseball - ""Tree""",Television Tree for Major League Baseball by McCann Worldgroup,"Major League Baseball - ""Tree"""
5194,"Canon - ""Smoke""",Television & Cinema Smoke for Canon by Dentsu Aegis Network - It's only competition is reality.,"Canon - ""Smoke"""
5195,"Canon - ""Attraction""",Television & Cinema Attraction for Canon by Dentsu Aegis Network - Make every shot a PowerShot,"Canon - ""Attraction"""
5196,"Canon - ""Practice""",Television & Cinema Practice for Canon by Dentsu Aegis Network - Make every shot a PowerShot,"Canon - ""Practice"""
5197,"Canon - ""Half Pipe""",Television & Cinema Half Pipe for Canon by Dentsu Aegis Network - we REVOLUTIONIZED digital,"Canon - ""Half Pipe"""
5198,"Canon - ""Roller Hockey""",Television & Cinema Roller Hockey for Canon by Dentsu Aegis Network - we REVOLUTIONIZED digital,"Canon - ""Roller Hockey"""
5199,"Canon - ""Pajamas""",Television & Cinema Pajamas for Canon by Dentsu Aegis Network - we REVOLUTIONIZED digital,"Canon - ""Pajamas"""
5200,"Canon - ""Fast/Slow""",Television & Cinema Fast/Slow for Canon by Dentsu Aegis Network - Know How,"Canon - ""Fast/Slow"""
5201,"Champs - ""Tantrum""",Television & Cinema Tantrum for Champs by AKA NYC - Next Week Is Only 7 Days Away,"Champs - ""Tantrum"""
5202,"Champs - ""Flight Crew""",Television & Cinema Flight Crew for Champs by AKA NYC - Where Sport Lives,"Champs - ""Flight Crew"""
5203,"Champs - ""Split""",Television & Cinema Split for Champs by AKA NYC - Where Sport Lives,"Champs - ""Split"""
5204,"Foot Locker - ""Cubed""",Television & Cinema Cubed for Foot Locker by AKA NYC,"Foot Locker - ""Cubed"""
5205,"Foot Locker - ""I Don't Rise""",Television & Cinema I Don't Rise for Foot Locker by AKA NYC,"Foot Locker - ""I Don't Rise"""
5206,"Lady Foot Locker - ""Open Spaces""",Television & Cinema Open Spaces for Lady Foot Locker by AKA NYC,"Lady Foot Locker - ""Open Spaces"""
5207,"Foot Locker - ""Recognize-Fire""",Television & Cinema Recognize-Fire for Foot Locker by AKA NYC,"Foot Locker - ""Recognize-Fire"""
5208,"Foot Locker - ""Red Army""",Television & Cinema Red Army for Foot Locker by AKA NYC,"Foot Locker - ""Red Army"""
5209,"EA Sports - ""Concentrate""",Television Concentrate for EA Sports by Wieden + Kennedy - HOW DOES IT FEEL?,"EA Sports - ""Concentrate"""
5210,"Sony - ""The Mongoose""",Television The Mongoose for Sony - LIVE IN YOUR WORLD.  PLAY IN OURS.,"Sony - ""The Mongoose"""
5211,"Southwest Airlines - ""Sky Ribbon""",Television Sky Ribbon for Southwest Airlines by GSD&M - You are now free to move about the country,"Southwest Airlines - ""Sky Ribbon"""
5212,"NBA - ""NBA Finals 2006 - Legacy of Champions""",Television NBA Finals 2006 - Legacy of Champions for NBA,"NBA - ""NBA Finals 2006 - Legacy of Champions"""
5213,"Ubisoft - ""Deep Undercover""",Television Deep Undercover for Ubisoft by Ayzenberg Group,"Ubisoft - ""Deep Undercover"""
5214,"EA Sports - ""Trick Shot""",Television Trick Shot for EA Sports by Wieden + Kennedy,"EA Sports - ""Trick Shot"""
5215,"Electronic Arts - ""Night Sky""",Television Night Sky for Electronic Arts by Heat,"Electronic Arts - ""Night Sky"""
5216,"Grand Theft Auto: Vice City Stories - ""Let's Party""",Television Let's Party for Grand Theft Auto: Vice City Stories,"Grand Theft Auto: Vice City Stories - ""Let's Party"""
5217,"GameTap - ""Compilation (30 sec)""",Television Compilation (30 sec) for GameTap by MullenLowe Boston,"GameTap - ""Compilation (30 sec)"""
5218,"Microsoft - ""Welcome""",Television Welcome for Microsoft - AS REAL AS IT GETS,"Microsoft - ""Welcome"""
5219,"Here's to Beer - ""Spike & Jackie""",Television & Cinema Spike & Jackie for Here's to Beer by DDB Chicago - Here's to Beer.,"Here's to Beer - ""Spike & Jackie"""
5220,"Mercedes-Benz - ""Jiggle""",Television & Cinema Jiggle for Mercedes-Benz by Merkley+Partners - Unlike any other.,"Mercedes-Benz - ""Jiggle"""
5221,"ESPN - ""Anthem""",Television & Cinema Anthem for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Anthem"""
5222,"ESPN - ""Ivory Coast""",Television & Cinema Ivory Coast for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Ivory Coast"""
5223,"ESPN - ""Sick Days""",Television & Cinema Sick Days for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Sick Days"""
5224,"ESPN - ""Tartan Army""",Television & Cinema Tartan Army for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Tartan Army"""
5225,"ESPN - ""Ivory Coast (One.org)""",Television & Cinema Ivory Coast (One.org) for ESPN by Wieden + Kennedy - One Game Changes Everything,"ESPN - ""Ivory Coast (One.org)"""
5226,"World Series of Poker - ""I.V.""",Television I.V. for World Series of Poker by Gabriel deGrood Bendt - GdB,"World Series of Poker - ""I.V."""
5227,"World Series of Poker - ""Raise""",Television Raise for World Series of Poker by Gabriel deGrood Bendt - GdB,"World Series of Poker - ""Raise"""
5228,"ESPN - ""Tour""",Television Tour for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Tour"""
5229,"Sony PlayStation 3 - ""Mama""",Television Mama for Sony PlayStation 3 by TBWA\Chiat\Day Los Angeles - PLAY B3YOND,"Sony PlayStation 3 - ""Mama"""
5230,"Activision - ""Superheroes""",Television Superheroes for Activision,"Activision - ""Superheroes"""
5231,"TaylorMade - ""Weir""",Magazine Weir for TaylorMade by NYCA - I Am A Golfer,"TaylorMade - ""Weir"""
5232,"TaylorMade - ""Paula""",Magazine Paula for TaylorMade by NYCA - I Am A Golfer,"TaylorMade - ""Paula"""
5233,"TaylorMade - ""Survivor""",Magazine Survivor for TaylorMade by NYCA - I Am A Golfer,"TaylorMade - ""Survivor"""
5234,"TaylorMade - ""Brothers""",Magazine Brothers for TaylorMade by NYCA - I Am A Golfer,"TaylorMade - ""Brothers"""
5235,"TaylorMade - ""Samurai""",Magazine Samurai for TaylorMade by NYCA - I Am A Golfer,"TaylorMade - ""Samurai"""
5236,"Sony PlayStation 3 - ""Rubiks Cube""",Television Rubiks Cube for Sony PlayStation 3 by TBWA\Chiat\Day Los Angeles - PLAY B3YOND,"Sony PlayStation 3 - ""Rubiks Cube"""
5237,"Nike - ""Knees""",Web Film Knees for Nike by Wieden + Kennedy - Just Do It.,"Nike - ""Knees"""
5238,"TaylorMade - ""r7""",Magazine r7 for TaylorMade by NYCA - The #1 Driver in Golf Milled into an Iron.,"TaylorMade - ""r7"""
5239,"TaylorMade - ""#1 Bug""",Case Study #1 Bug for TaylorMade by NYCA,"TaylorMade - ""#1 Bug"""
5240,"TaylorMade - ""I Am A Golfer""",Corporate/Brand Identity I Am A Golfer for TaylorMade by NYCA,"TaylorMade - ""I Am A Golfer"""
5241,"TaylorMade - ""Space Invaders""",Magazine Space Invaders for TaylorMade by NYCA,"TaylorMade - ""Space Invaders"""
5242,"Nike - ""Push (60 sec)""",Television Push (60 sec) for Nike by Wieden + Kennedy - Football Is Everything,"Nike - ""Push (60 sec)"""
5243,"Ministère de la Jeunesse - ""Testimonials""",Television & Cinema Testimonials for Ministère de la Jeunesse - Don't be partner,"Ministère de la Jeunesse - ""Testimonials"""
5244,"Ministère de la Jeunesse - ""Partner""",Outdoor/Out of Home Partner for Ministère de la Jeunesse - Don't be partner,"Ministère de la Jeunesse - ""Partner"""
5245,"Fidelity - ""Ping Pong""",Television Ping Pong for Fidelity by Arnold - Smart move.,"Fidelity - ""Ping Pong"""
5246,"NintendoDS - ""Are You Ready?""",Television Are You Ready? for NintendoDS,"NintendoDS - ""Are You Ready?"""
5247,"Sony Playstation Portable (PSP) - ""Here Boy""",Television Here Boy for Sony Playstation Portable (PSP),"Sony Playstation Portable (PSP) - ""Here Boy"""
5248,"Tony Hawk's Project 8 - ""Clean Lens""",Television Clean Lens for Tony Hawk's  Project 8,"Tony Hawk's Project 8 - ""Clean Lens"""
5249,"Sony PlayStation - ""Sally""",Television Sally for Sony PlayStation - LIVE IN YOUR WORLD.  PLAY IN OURS.,"Sony PlayStation - ""Sally"""
5250,"Xbox 360 - ""F.E.A.R.""",Television F.E.A.R. for Xbox 360 - You Have Been Warned,"Xbox 360 - ""F.E.A.R."""
5251,"Sony Playstation Portable (PSP) - ""Find Me""",Television Find Me for Sony Playstation Portable (PSP),"Sony Playstation Portable (PSP) - ""Find Me"""
5252,"Sony PlayStation - ""Voice of Hope""",Television Voice of Hope for Sony PlayStation,"Sony PlayStation - ""Voice of Hope"""
5253,"Gamefly.com - ""Passion""",Television Passion for Gamefly.com,"Gamefly.com - ""Passion"""
5254,"Sony PlayStation 3 - ""Eggs""",Television Eggs for Sony PlayStation 3 by TBWA\Chiat\Day Los Angeles - PLAY B3YOND,"Sony PlayStation 3 - ""Eggs"""
5255,"Xbox 360 - ""Anyone here?""",Television Anyone here? for Xbox 360 by McCann Erickson - The new generation is now,"Xbox 360 - ""Anyone here?"""
5256,"Xbox 360 - ""Sonic""",Television Sonic for Xbox 360 by McCann Erickson - The new generation is now,"Xbox 360 - ""Sonic"""
5257,"Jakks Pacific - ""Virtual Pet""",Television Virtual Pet for Jakks Pacific,"Jakks Pacific - ""Virtual Pet"""
5258,"Sony PlayStation - ""Concert""",Television Concert for Sony PlayStation,"Sony PlayStation - ""Concert"""
5259,"Sony PlayStation - ""War""",Television War for Sony PlayStation - LIVE IN YOUR WORLD.  PLAY IN OURS.,"Sony PlayStation - ""War"""
5260,"NintendoDS - ""Agents""",Television Agents for NintendoDS,"NintendoDS - ""Agents"""
5261,"NintendoDS - ""Yoshi""",Television Yoshi for NintendoDS,"NintendoDS - ""Yoshi"""
5262,"Nintendo Wii - ""Play""",Television Play for Nintendo Wii by Leo Burnett Chicago,"Nintendo Wii - ""Play"""
5263,"Nike - ""Do you suffer? 1""","Poster Do you suffer? 1 for Nike by VillarRosàs - DO YOU SUFFER MORE WHEN YOU RUN OR WHEN YOU CAN'T GO OUT FOR A RUN?

The campaign is aimed at core runn...","Nike - ""Do you suffer? 1"""
5264,"Nike - ""Do you suffer? 2""","Poster Do you suffer? 2 for Nike by VillarRosàs - DO YOU SUFFER MORE WHEN YOU RUN OR WHEN YOU CAN'T GO OUT FOR A RUN?

The campaign is aimed at core runn...","Nike - ""Do you suffer? 2"""
5265,"Nike - ""Do you suffer? 3""","Poster Do you suffer? 3 for Nike by VillarRosàs - DO YOU SUFFER MORE WHEN YOU RUN OR WHEN YOU CAN'T GO OUT FOR A RUN?

The campaign is aimed at core runn...","Nike - ""Do you suffer? 3"""
5266,"Nike - ""Do you suffer? 4""","Poster Do you suffer? 4 for Nike by VillarRosàs - DO YOU SUFFER MORE WHEN YOU RUN OR WHEN YOU CAN'T GO OUT FOR A RUN?

The campaign is aimed at core runn...","Nike - ""Do you suffer? 4"""
5267,"Jordan - ""B More""",Television B More for Jordan by Wieden + Kennedy - Melo,"Jordan - ""B More"""
5268,"Boston Celtics - ""Treadmill""",Television Treadmill for Boston Celtics by Allen & Gerritsen - Get Into It,"Boston Celtics - ""Treadmill"""
5269,"Boston Celtics - ""Telfair""",Television Telfair for Boston Celtics by Allen & Gerritsen - Get Into It,"Boston Celtics - ""Telfair"""
5270,"2K Sports - ""Redick""",Television Redick for 2K Sports,"2K Sports - ""Redick"""
5271,"ESPN - ""All Seasons""",Television All Seasons for ESPN,"ESPN - ""All Seasons"""
5272,"Guinness - ""Buffalo Wings""",Television Buffalo Wings for Guinness by BBDO New York - BRILLIANT,"Guinness - ""Buffalo Wings"""
5273,"Guinness - ""Too Much""",Television Too Much for Guinness by BBDO New York - BRILLIANT,"Guinness - ""Too Much"""
5274,"EA Sports - ""Tackle""",Television Tackle for EA Sports by Wieden + Kennedy - HOW DOES IT FEEL?,"EA Sports - ""Tackle"""
5275,"ESPN - ""Speed Bump (30 sec)""",Television Speed Bump (30 sec) for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Speed Bump (30 sec)"""
5276,"EA Games - ""Superman Returns""",Television Superman Returns for EA Games,"EA Games - ""Superman Returns"""
5277,"World of Warcraft - ""Office Space""",Television Office Space for World of Warcraft,"World of Warcraft - ""Office Space"""
5278,"Men's Wearhouse - ""Tall""",Television Tall for Men's Wearhouse,"Men's Wearhouse - ""Tall"""
5279,"Men's Wearhouse - ""Ugly Sweater""",Television Ugly Sweater for Men's Wearhouse,"Men's Wearhouse - ""Ugly Sweater"""
5280,"Ecko - ""Pull up""",Television Pull up for Ecko,"Ecko - ""Pull up"""
5281,"Modell's - ""Christmas Shopping""",Television Christmas Shopping for Modell's,"Modell's - ""Christmas Shopping"""
5282,"Nike - ""Endure""",Television Endure for Nike by Wieden + Kennedy Amsterdam - A little less hurt,"Nike - ""Endure"""
5283,"adidas - ""Partido""","Television & Cinema Partido for adidas by 180 Amsterdam - SUMMARY Every four years, rivalry between sports brands intensifies as each brand attempts to lev...","adidas - ""Partido"""
5284,"Nike Sports Apparel - ""The Chain""",Web Film The Chain for Nike Sports Apparel by LBi Copenhagen,"Nike Sports Apparel - ""The Chain"""
5285,"Mammut Sports - ""Mount Everest Expedition: Mary Woodbridge""",Web Site Mount Everest Expedition: Mary Woodbridge for Mammut Sports by Leo Burnett Schweiz,"Mammut Sports - ""Mount Everest Expedition: Mary Woodbridge"""
5286,"Nike - ""34th Street Animation""",Outdoor/Out of Home 34th Street Animation for Nike by Wieden + Kennedy,"Nike - ""34th Street Animation"""
5287,"ESPN 360 - ""Park Life""",Television Park Life for ESPN 360 by Arnold - Together we can fight sports video deficiency.,"ESPN 360 - ""Park Life"""
5288,"ESPN 360 - ""Time Out""",Television Time Out for ESPN 360 by Arnold - Together we can fight sports video deficiency.,"ESPN 360 - ""Time Out"""
5289,"ESPN 360 - ""Restroom Intervention""",Television Restroom Intervention for ESPN 360 by Arnold - Together we can fight sports video deficiency.,"ESPN 360 - ""Restroom Intervention"""
5290,"Mobile ESPN - ""Smoothie""",Television Smoothie for Mobile ESPN by Arnold - Your Instant Sports Lifeline,"Mobile ESPN - ""Smoothie"""
5291,"Mobile ESPN - ""Draft""",Television Draft for Mobile ESPN by Arnold - Your Instant Sports Lifeline,"Mobile ESPN - ""Draft"""
5292,"Mobile ESPN - ""Vegas""",Television Vegas for Mobile ESPN by Arnold - Your Instant Sports Lifeline,"Mobile ESPN - ""Vegas"""
5293,"Titleist - ""House""",Television House for Titleist by Arnold,"Titleist - ""House"""
5294,"Titleist - ""Intervention""",Television Intervention for Titleist by Arnold,"Titleist - ""Intervention"""
5295,"Titleist - ""Switcheroo""",Television Switcheroo for Titleist by Arnold,"Titleist - ""Switcheroo"""
5296,"Vonage - ""Golf Ball""",Television Golf Ball for Vonage by Arnold,"Vonage - ""Golf Ball"""
5297,"Altoids Sours - ""Fruit Pants (30 sec.)""",Television & Cinema Fruit Pants (30 sec.) for Altoids Sours by Leo Burnett Chicago,"Altoids Sours - ""Fruit Pants (30 sec.)"""
5298,"Nintendo Wii - ""LA""",Television & Cinema LA for Nintendo Wii by Leo Burnett Chicago,"Nintendo Wii - ""LA"""
5299,"Nintendo Wii - ""Middle of Nowhere""",Television & Cinema Middle of Nowhere for Nintendo Wii by Leo Burnett Chicago,"Nintendo Wii - ""Middle of Nowhere"""
5300,"Nintendo Wii - ""Wii for All""",Television Wii for All for Nintendo Wii by Leo Burnett Chicago,"Nintendo Wii - ""Wii for All"""
5301,"Shimano - ""Bike""",Magazine Bike for Shimano by Crossmarks,"Shimano - ""Bike"""
5302,"Shimano - ""Blimp""",Magazine Blimp for Shimano by Crossmarks,"Shimano - ""Blimp"""
5303,"Shimano - ""Foot""",Magazine Foot for Shimano by Crossmarks,"Shimano - ""Foot"""
5304,"ESPN - ""Negotiation""",Television Negotiation for ESPN,"ESPN - ""Negotiation"""
5305,"ESPN - ""Mail Room""",Television Mail Room for ESPN by Wieden + Kennedy - This is SportsCenter.,"ESPN - ""Mail Room"""
5306,"American Eagle Outfitters - ""Real""",Television Real for American Eagle Outfitters,"American Eagle Outfitters - ""Real"""
5307,"adidas - ""German Football Team""","Television & Cinema German Football Team for adidas by 180 Amsterdam - SUMMARY
Every four years, rivalry between sports brands intensifies as each brand a...","adidas - ""German Football Team"""
